年度,總計,台灣地區,新北市,台北市,桃園市,台中市,台南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,台東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,87699.000000,87536.000000,11275.000000,13441.000000,5021.000000,9244.000000,9417.000000,10405.000000,2867.000000,1878.000000,1487.000000,4830.000000,1954.000000,3357.000000,1845.000000,3111.000000,1433.000000,2142.000000,397.000000,1327.000000,900.000000,1095.000000,92.000000,71.000000
1999,92173.000000,91963.000000,11646.000000,14018.000000,5483.000000,9789.000000,10186.000000,10743.000000,3068.000000,1982.000000,1794.000000,4899.000000,1746.000000,3592.000000,1953.000000,3285.000000,1571.000000,2311.000000,397.000000,1351.000000,896.000000,1143.000000,130.000000,80.000000
2000,96354.000000,96144.000000,11880.000000,14669.000000,5801.000000,10405.000000,10417.000000,11170.000000,3068.000000,2052.000000,2037.000000,5180.000000,2072.000000,3845.000000,2001.000000,3489.000000,1628.000000,2441.000000,452.000000,1413.000000,851.000000,1168.000000,130.000000,80.000000
2001,102254.000000,102033.000000,12150.000000,14956.000000,6211.000000,12330.000000,10962.000000,11422.000000,3358.000000,2220.000000,2471.000000,5486.000000,2151.000000,3950.000000,2092.000000,3643.000000,1687.000000,2488.000000,614.000000,1421.000000,979.000000,1329.000000,130.000000,91.000000
2002,106419.000000,106217.000000,12476.000000,15516.000000,7005.000000,12851.000000,11170.000000,11797.000000,3458.000000,2275.000000,2824.000000,5607.000000,2182.000000,4063.000000,2233.000000,3853.000000,1728.000000,2557.000000,612.000000,1464.000000,991.000000,1384.000000,130.000000,72.000000
2003,111199.000000,110988.000000,12961.000000,16129.000000,7611.000000,13373.000000,11447.000000,12159.000000,3994.000000,2410.000000,3036.000000,5768.000000,2256.000000,4209.000000,2465.000000,3829.000000,1759.000000,2706.000000,719.000000,1505.000000,1039.000000,1437.000000,113.000000,98.000000
2004,115480.000000,115259.000000,14176.000000,16386.000000,8091.000000,13746.000000,11733.000000,12563.000000,4168.000000,2456.000000,3089.000000,5870.000000,2274.000000,4298.000000,2788.000000,4008.000000,1754.000000,2781.000000,745.000000,1522.000000,1148.000000,1504.000000,141.000000,80.000000
2005,118594.000000,118366.000000,14313.000000,16787.000000,8412.000000,14070.000000,11863.000000,12993.000000,4162.000000,2583.000000,3254.000000,5977.000000,2326.000000,4331.000000,3042.000000,4135.000000,1854.000000,2986.000000,759.000000,1520.000000,1250.000000,1564.000000,144.000000,84.000000
2006,121146.000000,120888.000000,14503.000000,17076.000000,8879.000000,14170.000000,11982.000000,13431.000000,4417.000000,2333.000000,3338.000000,6266.000000,2395.000000,4409.000000,3098.000000,4183.000000,1899.000000,3142.000000,757.000000,1521.000000,1328.000000,1576.000000,167.000000,91.000000
2007,124647.000000,124376.000000,14777.000000,17357.000000,9431.000000,14344.000000,12264.000000,13838.000000,4398.000000,2800.000000,3456.000000,6434.000000,2404.000000,4491.000000,3178.000000,4307.000000,1948.000000,3210.000000,756.000000,1529.000000,1364.000000,1590.000000,180.000000,91.000000
2008,127572.000000,127274.000000,15254.000000,17548.000000,9732.000000,14649.000000,12186.000000,14460.000000,4454.000000,2984.000000,3634.000000,6525.000000,2559.000000,4732.000000,3219.000000,4376.000000,1865.000000,3324.000000,759.000000,1533.000000,1376.000000,1606.000000,194.000000,104.000000
2009,131465.000000,131129.000000,15411.000000,18191.000000,9923.000000,15071.000000,12365.000000,14917.000000,4585.000000,3096.000000,3724.000000,6605.000000,2549.000000,5901.000000,3226.000000,4235.000000,2028.000000,3455.000000,788.000000,1542.000000,1406.000000,1616.000000,212.000000,124.000000
2010,134708.000000,134368.000000,16069.000000,18438.000000,10247.000000,15335.000000,12476.000000,15234.000000,4693.000000,3487.000000,3906.000000,6669.000000,2601.000000,6035.000000,3273.000000,4441.000000,2019.000000,3503.000000,815.000000,1556.000000,1454.000000,1622.000000,216.000000,124.000000
2011,137661.000000,137291.000000,16406.000000,18765.000000,10621.000000,15589.000000,12617.000000,15783.000000,4772.000000,3659.000000,3971.000000,6714.000000,2666.000000,6091.000000,3316.000000,4713.000000,2084.000000,3551.000000,828.000000,1570.000000,1457.000000,1628.000000,233.000000,137.000000
2012,140061.000000,139679.000000,16622.000000,18936.000000,10862.000000,15779.000000,12691.000000,16166.000000,4879.000000,3740.000000,4007.000000,6766.000000,2689.000000,6297.000000,3343.000000,5280.000000,2068.000000,3548.000000,851.000000,1574.000000,1469.000000,1636.000000,245.000000,137.000000
2013,141384.000000,140992.000000,16816.000000,19093.000000,10995.000000,16143.000000,12752.000000,16464.000000,5143.000000,3821.000000,4024.000000,6814.000000,2745.000000,6358.000000,3374.000000,4820.000000,2072.000000,3514.000000,852.000000,1607.000000,1466.000000,1641.000000,249.000000,143.000000
2014,149283.000000,148886.000000,16304.000000,19408.000000,15447.000000,16545.000000,12720.000000,18685.000000,5260.000000,3891.000000,4397.000000,6907.000000,2819.000000,6419.000000,3400.000000,4810.000000,2072.000000,3535.000000,853.000000,1611.000000,1494.000000,1659.000000,254.000000,143.000000
2015,151158.000000,150751.000000,16705.000000,19667.000000,15567.000000,16933.000000,12724.000000,18670.000000,5311.000000,3979.000000,4450.000000,6934.000000,2855.000000,6488.000000,3433.000000,4824.000000,2117.000000,3592.000000,857.000000,1624.000000,1686.000000,1689.000000,263.000000,144.000000
2016,154798.000000,154389.000000,16941.000000,19840.000000,15658.000000,17257.000000,12783.000000,18706.000000,6912.000000,4078.000000,4611.000000,6984.000000,2809.000000,6519.000000,3612.000000,4795.000000,2142.000000,3672.000000,857.000000,1628.000000,2218.000000,1698.000000,264.000000,145.000000
2017,159302.000000,158890.000000,19906.000000,19968.000000,15736.000000,17731.000000,12859.000000,18848.000000,6896.000000,4126.000000,4654.000000,7036.000000,2818.000000,6541.000000,3668.000000,4738.000000,2159.000000,3875.000000,853.000000,1620.000000,2425.000000,1757.000000,268.000000,144.000000
