年度,總計,台灣地區,新北市,台北市,桃園市,台中市,台南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,台東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1999,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2002,13770978000.000000,13717794000.000000,2599323000.000000,2083464000.000000,874518000.000000,1412526000.000000,1204206000.000000,1744917000.000000,325977000.000000,331842000.000000,257925000.000000,604485000.000000,202956000.000000,255156000.000000,182949000.000000,381834000.000000,127725000.000000,184248000.000000,47496000.000000,350301000.000000,288636000.000000,257310000.000000,40041000.000000,13143000.000000
2003,18458457000.000000,18385218000.000000,3523743000.000000,2754714000.000000,1177647000.000000,1871373000.000000,1569120000.000000,2259753000.000000,488868000.000000,450081000.000000,347115000.000000,823068000.000000,282288000.000000,367134000.000000,252759000.000000,511347000.000000,180057000.000000,250671000.000000,60558000.000000,505626000.000000,384441000.000000,324855000.000000,55755000.000000,17484000.000000
2004,23763969000.000000,23668833000.000000,4582818000.000000,3506658000.000000,1561554000.000000,2374212000.000000,1945902000.000000,2817105000.000000,693171000.000000,579690000.000000,474924000.000000,1073016000.000000,382509000.000000,509628000.000000,328602000.000000,624135000.000000,216852000.000000,346629000.000000,78591000.000000,691395000.000000,497259000.000000,384183000.000000,73491000.000000,21645000.000000
2005,25972598370.000000,25874441370.000000,4989726000.000000,3816764400.000000,1706714970.000000,2609064000.000000,2119119000.000000,3050622000.000000,751152000.000000,620943000.000000,523923000.000000,1197714000.000000,428445000.000000,604122000.000000,375276000.000000,676335000.000000,225561000.000000,381816000.000000,80670000.000000,756225000.000000,542895000.000000,417354000.000000,76260000.000000,21897000.000000
2006,27914261000.000000,27815579000.000000,5358129000.000000,4037067000.000000,1840188000.000000,2822745000.000000,2275113000.000000,3285962000.000000,796233000.000000,665403000.000000,576291000.000000,1302003000.000000,474594000.000000,674547000.000000,412146000.000000,727959000.000000,240531000.000000,412782000.000000,86769000.000000,805809000.000000,581166000.000000,440142000.000000,76626000.000000,22056000.000000
2007,29616926287.000000,29513666287.000000,5688800827.000000,4178562571.000000,1971579576.000000,3005686583.000000,2412649854.000000,3479872984.000000,827623881.000000,711719738.000000,628215000.000000,1410832087.000000,513360000.000000,737897229.000000,450805603.000000,779002671.000000,255093000.000000,459610877.000000,87693000.000000,840757090.000000,614703344.000000,459200372.000000,79698000.000000,23562000.000000
